name,address,city,telephone1,url,fax,telephone2
Royal Seoul House,200-1215 W Broadway, Vancouver,604 738-8285,nil,nil,nil,
Royal Tandoori Indian Restaurant,83 6th St, New Westminster,604 521-2247,nil,nil,nil,
Ruan Thai Restaurant,118-4061 200 St, Langley,604 534-2200,nil,nil,nil,
Ruben's Restaurant,15282 Fraser Hwy, Surrey,604 585-6708,nil,nil,nil,
Salty Fish & Chips,15240 Russell Ave, White Rock,604 536-8511,nil,nil,nil,
Sammi's Bubble Tea,2023-88 W Pender, Vancouver,604 899-8073,nil,nil,nil,
Whet,1517 Anderson, Vancouver,604 696-0739,nil,nil,nil,
Sammy J Peppers Grill & Bar,200-4755 Kingsway, Burnaby,604 430-6496,nil,nil,nil,
Sammy J Peppers Grill & Bar,1075 Lougheed Hwy, Coquitlam,604 524-1422,nil,nil,nil,
Sammy J Peppers Grill & Bar,101-19925 Willowbrook Dr, Langley,604 514-0224,nil,nil,nil,
Sammy J Peppers Restaurant & Lounge,8701 120 St, Delta,778 578-0080,nil,778 578-0090,nil,
Sammy's Hot Wings,1773 Robson St, Vancouver,604 683-3622,nil,nil,nil,
Samosa Garden Restaurant,3502 Kingsway, Vancouver,604 437-3502,nil,604 437-3504,nil,
Roadhouse Bake Shoppe,1763 King George Blvd, Surrey,604 538-3177,nil,nil,nil,
Sampaguita Cafe,11956 88 Ave, Delta,604 596-6722,nil,nil,nil,
Red Rose Restaurant,102-2381 King George Blvd, Surrey,604 535-5542,nil,nil,nil,
Red Rose Restaurant,6914 King George Blvd, Surrey,604 591-8850,nil,nil,nil,
Red Sea Restaurant,670 E Broadway, Vancouver,604 873-3332,nil,nil,nil,
Red Square Tapas Lounge,1208 Granville, Vancouver,604 408-6352,nil,nil,nil,
Roadster's Deli,101-3050 King George Hwy, White Rock,604 536-6039,nil,nil,nil,
Roadrunner Restaurant,20475 62 Ave, Langley,604 534-6240,nil,nil,604 530-6280,
Saltaire Restaurant & Terrace,235 15th, West Vancouver,604 913-8439,nil,604 913-8440,nil,
Roasty Jack,744A-4567 Lougheed Hwy, Burnaby,604 298-1686,nil,nil,nil,
Robson Mongolian BBQ Restaurant,1234 Robson St, Vancouver,604 899-1582,nil,nil,nil,
Ruby Restaurant,105-2228 McAllister, Port Coquitlam,604 941-8777,nil,nil,nil,
Rumi Rose Garden Cafe & Market,3660 Hastings St E, Vancouver,604 558-4455,nil,nil,nil,
Runway Cafe,E-18799 Airport Way, Pitt Meadows,604 460-8121,nil,nil,nil,
Russian House Restaurant,1147 Austin Ave, Coquitlam,778 355-5055,nil,nil,nil,
S2 Cafe House,874 E Hastings St, Vancouver,604 255-8488,nil,nil,nil,
Robson Sushi Japanese Restaurant,1542 Robson St, Vancouver,604 688-4789,nil,nil,nil,
Red Star Seafood Restaurant,8298 Granville St, Vancouver,604 261-8389,nil,nil,nil,
S & L Fast Food,2139-4500 Kingsway, Burnaby,604 438-2587,nil,nil,nil,
Robson's All India Bar & Grill,2139-4500 Kingsway, Burnaby,604 438-2587,nil,nil,nil,
Samurai Japanese Restaurant,1108 Davie St, Vancouver,604 609-0078,nil,nil,nil,
Red Tuna,7-8273 Granville, Vancouver,604 261-8112,nil,nil,nil,
Robson's All India Bar & Grill,1256 Robson St, Vancouver,604 688-2101,nil,nil,nil,
Sejuiced Vegetarian Restaurant,1958 W 4th Ave, Vancouver,604 730-9906,nil,nil,nil,
Shiro Japanese Restaurant,3096 Cambie St, Vancouver,604 874-0027,nil,nil,nil,
Socrates Greek Taverna,19-20691 Lougheed Hwy, Maple Ridge,604 465-1393,nil,nil,nil,
Semiahmoo Fortune Wok,148A-1711 152 St, Surrey,604 536-8128,nil,nil,nil,
Sofi's Shawanna & Donairs,8928 152 St, Surrey,604 957-2344,nil,nil,nil,
Samurai Sushi House,5888 Cambie St, Vancouver,604 325-8597,nil,nil,nil,
Samurai Sushi On Fraser,6428 Fraser St, Vancouver,604 676-4479,nil,nil,nil,
Sokela Restaurant,B-1001 Austin, Coquitlam,604 931-2544,nil,nil,nil,
Samwell BBQ,1190-8181 Cambie Rd, Richmond,604 278-1468,nil,nil,nil,
Sen Viet Restaurant,10-8590 200 St, Langley,604 888-7778,nil,nil,nil,
Sendai Sushi,601 W Hastings St, Vancouver,604 681-9892,nil,nil,nil,
Senhor Rooster,850 Renfrew, Vancouver,604 434-1010,nil,nil,nil,
Shizen Ya,985 Hornby St, Vancouver,604 568-0013,nil,nil,nil,
Shochi Ku Sushi,1357 Johnston, White Rock,604 538-6100,nil,nil,nil,
Solav Souvlaki & Denair,111A-4680 Kingsway, Burnaby,604 433-6642,nil,nil,nil,
Sandars Thai Garden Restaurant,105-7500 120 St, Surrey,604 599-5612,nil,nil,nil,
Seok Gi Si Dae Restaurant,4-602 Clarke Rd, Coquitlam,604 937-0330,nil,nil,nil,
Shogun Akita Restaurant,1015-5300 No. 3 Rd, Richmond,604 278-3354,nil,nil,nil,
Some Kinda Pasta,4409 W 10th Ave, Vancouver,604 222-0220,nil,nil,nil,
Song Huong Vietnamese Restaurant,14667 108 Ave, Surrey,604 581-4710,nil,nil,nil,
The Sandbar Seafood Restaurant On Granville Island,1535 Johnston, Vancouver,604 669-9030,nil,nil,nil,
Seoul Duck Baeki House,1031 Kingsway, Vancouver,604 879-1515,nil,nil,nil,
Shogun Japanese Restaurant,701-2153 Central City, Surrey,604 580-3059,nil,nil,nil,
Sophie's Cosmic Cafe,2095 W 4th Ave, Vancouver,604 732-6810,nil,nil,nil,
Soul Robata & lzakaya,1015-8580 Alexandra Rd, Richmond,604 279-8580,nil,nil,nil,
Seoul Express,1095-3700 No. 3 Rd, Richmond,604 821-1775,nil,nil,nil,
Shun Xin,8111 Park Rd, Richmond,604 278-2703,nil,nil,nil,
San Dong Restaurant,19555 Fraser Hwy, Surrey,604 533-3399,nil,nil,nil,
Sandwich Garden,529 W Pender St, Vancouver,604 681-4422,nil,nil,nil,
Seoul House Korean Restaurant,13639 104 Ave, Surrey,604 580-4193,nil,nil,nil,
Sepp's Gourmet Foods,529 Annance Crt, Delta,604 636-0338,nil,nil,nil,
Shuraku Restaurant,833 Granville St, Vancouver,604 687-6622,nil,nil,nil,
Siam Thai Cuisine,2-1990 152 St, Surrey,604 538-2211,nil,nil,nil,
Soup Etc,1550 W Broadway, Vancouver,604 737-7620,nil,nil,nil,
Soup N San,1337 Guildford Town Ctr, Surrey,604 585-6116,nil,nil,nil,
Sandwich Tree,3230 Beta, Burnaby,604 299-7633,nil,nil,nil,
Sandwich Tree,4370 Dominion, Burnaby,604 435-4012,nil,nil,nil,
Sandwich Tree,7560 Vantage Way, Ladner,604 940-1309,nil,nil,nil,
Sidharth Grill,3B-15782 Marine, White Rock,604 542-2577,nil,nil,nil,
Soup Plus,1102 Austin, Coquitlam,604 936-7827,nil,nil,nil,
Soup & Sandwich Cafe,1-17918 55 Ave, Surrey,604 574-4832,nil,nil,nil,
Sidhu Sweets,3-12044 85 Ave, Surrey,604 594-5011,nil,nil,nil,
Sang Thai & Vietnamese Restaurant,6102-2850 Shaughnessy St, Port Coquitlam,604 944-7264,nil,nil,nil,
Seri Malaysia Restaurant,2327 E Hastings St, Vancouver,604 677-7555,nil,nil,nil,
Silk's Cafe On Broadway,363 E Broadway, Vancouver,604 876-7455,nil,nil,nil,
Soup Zone,32-555 W 12th Ave, Vancouver,778 371-8781,nil,nil,nil,
Soup Zone Restaurant,1A-555 W Hastings St, Vancouver,604 569-3579,nil,nil,nil,
Silver Dragon,110-20256 56th Ave, Langley,604 514-9399,nil,nil,nil,
Sango Japanese Restaurant,350-19800 Lougheed Hwy, Pitt Meadows,604 465-4650,nil,nil,nil,
Seto Cafe,2341 E Hastings St, Vancouver,604 255-9411,nil,nil,nil,
Seto Japanese Restaurant,155-8460 Alexandra, Richmond,604 231-9493,nil,nil,nil,
South Castle,10505 King George Blvd, Surrey,604 582-7282,nil,nil,nil,
Silver House Restaurant,22378 Dewdney Trunk, Maple Ridge,604 467-5454,nil,nil,nil,
South Castle Korean Restaurant,120 Esplanade W, North Vancouver,604 985-8828,nil,nil,nil,
Sanja Punjab's Sweethouse,1A-12830 96 Ave, Surrey,604 930-9099,nil,nil,nil,
Sevasty's Coffee Bar & Grill,7-1666 Johnston, Vancouver,604 681-0177,nil,nil,nil,
Silver Tower Cafe Restaurant,100-8500 Alexandra, Richmond,604 207-1199,nil,nil,nil,
Sankyu Lounge,1441 Commercial Dr, Vancouver,604 558-2285,nil,nil,nil,
Sewa Central Food,8280 Granville Ave, Richmond,604 273-2739,nil,nil,nil,
South Castle Korean Restaurant,141 2nd St E, North Vancouver,604 960-0612,nil,nil,nil,
South Ocean Seafood Restaurant,150-4751 Garden City, Richmond,604 278-1233,nil,604 278-1260,nil,
Sanpachi Broadway,3132 W Broadway, Vancouver,604 738-3135,nil,nil,nil,
Santorini Restaurant,3877 Canada Way, Burnaby,604 435-5550,nil,nil,nil,
Sfinaki Greek Taverna,4061 Hastings, Burnaby,604 299-3400,nil,604 299-3044,nil,
Simon's Kitchen,4418 Dunbar St, Vancouver,604 734-1135,nil,nil,604 734-1565,
The Spaghetti Factory Restaurant,53 Water, Vancouver,604 684-1288,nil,nil,nil,
Sapporo Ramen,518 Hornby St, Vancouver,604 689-2922,nil,nil,nil,
Simpatico Kalamatas Ristorante,2222 W 4th Ave, Vancouver,604 733-6824,nil,nil,nil,
Speakeasy On Granville,921 Granville, Vancouver,604 685-5531,nil,nil,nil,
Sapporo Sushi,120-4255 Arbutus St, Vancouver,604 731-3434,nil,nil,nil,
Sarpion's Pizzeria,3912 Hastings, Burnaby,604 294-0157,nil,nil,nil,
Sasaya Bistro,7538 Royal Oak Ave, Burnaby,604 433-3652,nil,nil,nil,
Sha Lin Noodle House,548 W Broadway, Vancouver,604 873-1816,nil,nil,nil,
Shady Island Seafood Bar & Grill,112-3800 Bayview St, Richmond,604 275-6587,nil,nil,nil,
The Simpatico Ristorante,2222 W 4th, Vancouver,604 733-6532,nil,nil,nil,
Simply Curries,2-3343 Kingsway, Vancouver,604 436-1199,nil,nil,nil,
Specialty Chicken & Wonton House,80-8100 Ackroyd, Richmond,604 278-8239,nil,nil,nil,
Sashimi Sushi,116-9855 Austin, Burnaby,604 420-6789,nil,nil,nil,
Sashimi Sushi,113 17700 10 Hwy, Surrey,604 575-3889,nil,nil,nil,
Simply Delicious,4316 Main St, Vancouver,604 875-9866,nil,nil,nil,
Sashimi Sushi,3A Park Royal S, West Vancouver,604 922-2245,nil,nil,nil,
Spice Islands Indonesian Restaurant,3592 W 41st Ave, Vancouver,604 266-7355,nil,nil,nil,
Shagun Sweets,11-8388 128 St, Surrey,604 597-7877,nil,nil,nil,
Shanghai Chinese Bistro,1124 Alberni, Vancouver,604 683-8222,nil,nil,nil,
Simply Gourmet Food Services,2410-8260 Westminster Hwy, Richmond,604 821-1268,nil,nil,nil,
Spice Up Indian Cuisine,4191 Main St, Vancouver,604 568-7699,nil,nil,nil,
Simply Thai Restaurant,1211 Hamilton St, Vancouver,604 642-0123,nil,nil,nil,
Sashimi Sushi Japanese Restaurant,103-6351 152 St, Surrey,604 507-0811,nil,nil,nil,
Shanghai Garden Restaurant,3932 Fraser St, Vancouver,604 873-6123,nil,nil,nil,
Spicy Court Chinese Restaurant,101-5638 Cambie, Vancouver,604 325-1189,nil,nil,nil,
Savoy Grill,571 Hamilton, Vancouver,604 683-9759,nil,nil,nil,
Shanghai Goodies,1390-4380 No. 3 Rd, Richmond,604 232-1227,nil,nil,nil,
Spicy Court Chinese Restaurant,101-5638 Cambie, Vancouver,604 325-1189,nil,nil,nil,
Sawasdee Thai Restaurant,4250 Main St, Vancouver,604 876-4030,nil,nil,nil,
The Shanghai Kitchen,2106 W 41st Ave, Vancouver,604 261-0838,nil,604 261-8867,nil,
Shanghai Restaurant,7-6340 No. 3 Rd, Richmond,604 278-0709,nil,nil,nil,
Shanghai Wonderful Restaurant,110-8380 Lansdowne, Richmond,604 278-8829,nil,nil,nil,
Sing Kee Restaurant,3479 Kingsway, Vancouver,604 438-1010,nil,nil,nil,
Sing Sing Restaurant,2173 Kingsway, Vancouver,604 439-7894,nil,nil,nil,
Sitar Restaurant,8 Powell, Vancouver,604 687-0049,nil,nil,nil,
Six Acres,203 Carrall, Vancouver,604 488-0110,nil,604 569-2901,nil,
Six Degrees Lounge,100-550 Denman St, Vancouver,604 568-4606,nil,nil,nil,
Spicy House,1-555 Clarke, Coquitlam,604 931-0907,nil,nil,nil,
Spicy House,2039 Lonsdale Ave, North Vancouver,604 987-0102,nil,nil,nil,
Spicy Schezuan Restaurant,100-8151 Anderson, Richmond,604 276-9788,nil,nil,nil,
Spicy Szechuan Restaurant,100-8151 Anderson Rd, Richmond,604 276-9168,nil,nil,nil,
Sizzle Grill Express,4078-1055 Dunsmuir, Vancouver,604 688-1699,nil,nil,nil,
Splitz Grill Main Street,4242 Main St, Vancouver,604 875-9711,nil,604 875-9702,nil,
Shanja Chulha,7273 Main, Vancouver,604 324-2467,nil,nil,nil,
Shark Club,10251 St. Edwards, Richmond,604 278-6447,nil,nil,nil,
Sizzling Wok,27-555 W 12th Ave, Vancouver,604 872-8837,nil,nil,nil,
Sizzling Wok,1-200 Burrard St, Vancouver,604 683-8862,nil,nil,nil,
Spoons' Cafe,17-3871 North Fraser Way, Burnaby,604 454-1060,nil,nil,nil,
Sawasdee Thai Restaurant,4250 Main St, Vancouver,604 876-4030,nil,nil,nil,
Scallion's Bistro,100-6450 Roberts St, Burnaby,604 294-5228,nil,nil,nil,
Scoozies Bar & Grill,445 Howe St, Vancouver,604 684-1009,nil,nil,nil,
Score On Davie,1262 Davie St, Vancouver,604 632-1646,nil,nil,nil,
Sea Harbour Seafood Restaurant,3711 No. 3 Rd, Richmond,604 232-0816,nil,nil,nil,
Skewers Mediterranean Grill,B-228 Schoolhouse, Coquitlam,604 526-1232,nil,nil,nil,
The Spot Cafe,805 Denman St, Vancouver,604 602-9529,nil,nil,nil,
Spring Garden Chinese Seafood Restaurant,832 12th St, New Westminster,604 525-6000,nil,nil,nil,
Spring Garden Restaurant,4488 Main, Vancouver,604 874-3525,nil,nil,nil,
Stackhouse Burger Bar,1224 Granville St, Vancouver,604 558-3499,nil,nil,nil,
Stages Restaurant & Lounge,711 W Broadway, Vancouver,778 330-2406,nil,nil,nil,
Sky Dragon Restaurant,1538 Prairie, Port Coquitlam,604 941-8811,nil,nil,nil,
Skylight Restaurant,1012 Commercial Dr, Vancouver,604 251-3808,nil,nil,nil,
Stanley Restaurant,11184 84 Ave, Delta,604 594-1933,nil,nil,nil,
Sea House Fish & Chips,1-3003 Kingsway, Vancouver,604 433-7807,nil,nil,nil,
Sea Shanty Fish & Chips,5737 176 St, Surrey,778 571-1727,nil,nil,nil,
Sea Shanty Fish & Chips,22297 Dewdney Trunk, Maple Ridge,604 467-1322,nil,nil,nil,
The Seafood Shack,4623 Kingsway, Burnaby,604 451-7425,nil,nil,nil,
Seahorse  Grlll,12147 Sullivan, Surrey,604 542-6211,nil,nil,nil,
Seasalt Cafe,29-91 Golden, Coquitlam,604 464-2188,nil,nil,nil,
Shark Club Bar & Grill,10331 St. Edwards, Richmond,604 276-2609,nil,nil,nil,
Shark Club Bar & Grill,180 W Georgia St, Vancouver,604 687-4275,nil,nil,nil,
Shark Club Bar & Grill,20169 88 Ave, Langley,604 513-8600,nil,nil,nil,
Sharkey's Seafood Bar & Grille,4953 Chisholm St, Ladner,604 946-7793,nil,nil,nil,
Shaughnessy Restaurant,5251 Oak St, Vancouver,604 261-0011,nil,nil,nil,
Shiang Garden Restaurant,2200-4540 No. 3 Rd, Richmond,604 273-8858,nil,nil,nil,
Skyline Lounge,2015-88 W Pender St, Vancouver,604 558-4040,nil,nil,nil,
Star Lake Chinese Restaurant,168-6343 198 St, Langley,604 533-3018,nil,nil,nil,
Starnight Restaurant,406 6th St, New Westminster,604 527-8850,nil,nil,nil,
Skyway Restaurant,118-4440 Cowley Cres, Richmond,604 231-9822,nil,nil,nil,
Starry Night Restaurant & Reflexology,9231 Beckwith Rd, Richmond,778 297-5399,nil,nil,nil,
Slickity Jim's Chat & Chew   ,3475 Main St, Vancouver,604 873-6760,nil,nil,nil,
Station PC Cafe,121-6200 McKay, Burnaby,604 568-9024,nil,nil,nil,
Seasonal 56,201-26730 56 Ave, Langley,604 625-5601,nil,nil,nil,
The Smoking Dog Bistro,1889 W 1st Ave, Vancouver,604 732-8811,nil,nil,nil,
Steam Rollers,1195 Robson, Vancouver,604 893-8607,nil,nil,nil,
Seasons In The Park Restaurant,Queen Elizabeth Park,604 874-5008,nil,nil,nil,
Seaview Cafe 202,202-7080 River Rd, Richmond,604 273-8312,nil,nil,nil,
Shibuya Nuts Asian Bistro,774 Denman St, Vancouver,604 568-3737,nil,nil,nil,
Shibuyatei Japanese Restaurant,125-2971 Sexsmith Rd, Richmond,778 297-1777,nil,nil,nil,
Snak Shak Restaurant,4-13560 77 Ave, Surrey,604 596-7211,nil,nil,nil,
Steamrollers,437 Davie St, Vancouver,604 608-0852,nil,nil,nil,
Snow Garden Restaurant,469 Richards St, Vancouver,604 608-6898,nil,nil,nil,
Steamrollers,586 Hornby St, Vancouver,604 682-8607,nil,nil,nil,
Seb's Market & Cafe,592 E Broadway, Vancouver,604 298-4403,nil,nil,nil,
Shin Ji Ru Japanese Restaurant,15171 Russell Ave, White Rock,604 531-9657,nil,nil,nil,
Steamrollers,693 W Broadway, Vancouver,604 872-8607,nil,nil,nil,
Society Dining Lounge,1257 Hamilton St, Vancouver,604 629-8800,nil,nil,nil,
Steamrollers Robson,1195 Robson St, Vancouver,604 684-8695,nil,nil,nil,
Secret Palace,2729 Barnet Hwy, Coquitlam,778 285-5540,nil,nil,nil,
Shin Ju Japanese Cuisine,101-1401 W Broadway, Vancouver,604 733-8886,nil,nil,nil,
Sockeye City Grill,108-3800 Bayview, Richmond,604 275-4347,nil,nil,nil,
Secret Palace Restaurant,2729 Barnet Hwy, Coquitlam,604 945-0712,nil,nil,nil,
Shin Po Korean Restaurant,833 Bute, Vancouver,604 633-0667,nil,nil,nil,
Socrates Greek,6633 Hastings, Burnaby,604 299-3777,nil,nil,nil,
Section Three,1039 Mainland St, Vancouver,604 684-2777,nil,nil,nil,
Shiosai Sushi,5228 Joyce, Vancouver,604 436-2565,nil,nil,nil,
Seh-Mi Japanese  Restaurant,115-20151 Fraser Hwy, Langley,604 534-3622,nil,nil,604 534-3662,
Stepho's Souvlakigreek Taverna,1124 Davie St, Vancouver,604 683-2555,nil,nil,nil,
Steveston Cannery Cafe,3711 Moncton, Richmond,604 272-1222,nil,nil,nil,
Steveston Pizza Restaurant,3088 Cambie St, Vancouver,604 568-5333,nil,nil,nil,
Steveston Seafood House,3951 Moncton, Richmond,604 271-5252,nil,nil,nil,
Sticky Rice Thai & Asian Cuisine,450-3099 152 St, Surrey,604 535-1555,nil,nil,nil,
Subway Sandwiches,101-2255 King George Blvd, Surrey,604 542-2448,nil,nil,nil,
Subway Sandwiches,4-1368 W Georgia St, Vancouver,604 685-8999,nil,nil,nil,
Subway Sandwiches,120-8700 200 St, Langley,604 888-2055,nil,nil,nil,
Subway Sandwiches,110-15551 St Fraser Hwy, Surrey,604 583-7824,nil,nil,nil,
Subway Sandwiches,106-2990 152 St, Surrey,604 541-2454,nil,nil,nil,
Subway Sandwiches,4747 Kingsway, Burnaby,604 431-7949,nil,nil,nil,
Subway Sandwiches,7645 Royal Oak, Burnaby,604 430-4441,nil,nil,nil,
Subway Sandwiches,1895 Willingdon Burnaby,604 299-7838,nil,nil,nil,
Subway Sandwiches,1256 Lynn Valley, North Vancouver,604 986-7825,nil,nil,nil,
Subway Sandwiches,1255 Granville, Vancouver,604 676-0253,nil,nil,nil,
Subway Sandwiches,1095 Hornby, Vancouver,604 676-7827,nil,nil,nil,
Subway Sandwiches,521 5th St, New Westminster,604 526-2877,nil,nil,nil,
Subway Sandwiches,10-1080 Cliveden Ave, Annacis Island,604 520-0170,nil,nil,nil,
Subway Sandwiches,323 E Columbia, New Westminster,604 522-1234,nil,nil,nil,
Subway Sandwiches,120-2455 Dollarton Hwy, North Vancouver,604 929-7232,nil,nil,nil,
Subway Sandwiches,228 Esplanade W, North Vancouver,604 990-9330,nil,nil,nil,
Subway Sandwiches,2916 Lonsdale, North Vancouver,604 980-7827,nil,nil,nil,
Subway Sandwiches,2-2814 St Johns, Port Moody,604 469-7333,nil,nil,nil,
Subway Sandwiches,403-2764 Lougheed Hwy, Port Coquitlam,604 944-2427,nil,nil,nil,
Subway Sandwiches,114-2540 Shaughnessy, Port Coquitlam,604 942-2001,nil,nil,nil,
Sunlock Garden Restaurant,4298 Fraser St, Vancouver,604 879-4298,nil,nil,nil,
Sunny Dragon Restaurant,101-15988 Fraser Hwy, Surrey,604 572-5122,nil,nil,nil,
Sunny Garden Restaurant,4727 Kingsway, Burnaby,604 437-3399,nil,nil,nil,
Sunny Noodle House,14779 108 Ave, Surrey,604 584-2877,nil,nil,nil,
Sunset Grill Restaurant,2204 York, Vancouver,604 732-3733,nil,604 732-3797,nil,
Sunshine Diner,2649 W Broadway, Vancouver,604 733-7717,nil,nil,nil,
Sunway Restaurant,1300-4540 No. 3, Richmond,778 297-4363,nil,nil,nil,
Super Chef Grill,280 Robson, Vancouver,604 681-7189,nil,nil,nil,
Super Wok,505 Dunsmuir, Vancouver,604 569-2558,nil,nil,nil,
Subway Sandwiches,102-6591 Kingsway, Burnaby,604 436-5003,nil,nil,nil,
Subway Sandwiches,110-6060 Blundell, Richmond,604 275-8284,nil,nil,nil,
Stix Restaurant,903 Commercial Dr, Vancouver,604 568-6768,nil,nil,nil,
Stock Up Cafe ,6019 West Blvd, Vancouver,604 266-4527,nil,nil,nil,
Stone  Grill at the Met,259-4820 Kingsway, Burnaby,604 568-6008,nil,nil,nil,
Subway Sandwiches,110-2323 Boundary, Vancouver,604 205-5060,nil,nil,nil,
Subway Sandwiches,150-9100 Blundell, Richmond,604 244-7170,nil,nil,nil,
Subway Sandwiches,165-11700 Cambie, Richmond,604 303-9858,nil,nil,nil,
Supreme Pizza,6539 Victoria Dr, Vancouver,604 324-2515,nil,nil,nil,
Surf & Turf Market Grill,140-7310 120 St, Surrey,604 592-6875,nil,nil,nil,
Subway Sandwiches,102-1595 W Broadway, Vancouver,604 739-2055,nil,nil,nil,
Subway Sandwiches,100-5651 No. 3 Rd, Richmond,604 276-0955,nil,nil,nil,
Surrey Pizza & Chicken,8823 120 St, Delta,604 572-1122,nil,nil,nil,
Su Hang Restaurant,100-8291 Ackroyd Rd, Richmond,604 278-7787,nil,nil,nil,
Subway Sandwiches,3090 W Broadway, Vancouver,604 733-8290,nil,nil,nil,
Subway Sandwiches,810 Burrard, Vancouver,604 685-6882,nil,nil,nil,
Subway Sandwiches,1060-5300 No.3 Rd, Richmond,604 270-7874,nil,nil,nil,
Sushi Bang,100-500 W Broadway, Vancouver,604 875-0131,nil,604 875-0132,nil,
Sub Garden,13482 72 Ave, Surrey,604 572-9311,nil,nil,nil,
Subeez Subeez,891 Homer St, Vancouver,604 687-6107,nil,nil,nil,
Submore Cafe,222-7155 Kingsway, Burnaby,604 544-5000,nil,nil,nil,
Subway Sandwiches,1-1807 Burrard, Vancouver,604 136-1827,nil,nil,nil,
Subway Sandwiches,2569 Commercial Dr, Vancouver,604 875-9970,nil,nil,nil,
Subway Sandwiches,34-601 W Cordova St, Vancouver,604 609-2473,nil,nil,nil,
Subway Sandwiches,6191 Fraser St, Vancouver,604 323-9033,nil,604 232-4489,nil,
Subway Sandwiches,1320 56th St, Tsawwassen,604 948-2888,nil,nil,nil,
Subway Sandwiches,8116-13578 88 Ave, Surrey,604 507-7397,nil,nil,nil,
Subway Sandwiches,2-12842 96 Ave, Surrey,604 583-9911,nil,nil,nil,
Sushi Bar Iori,620-22709 Lougheed Hwy, Maple Ridge,604 463-1758,nil,nil,nil,
Subway Sandwiches,7215 Canada Way, Burnaby,604 520-5780,nil,nil,nil,
Subway Sandwiches,18775 Fraser Hwy, Surrey,604 574-7639,nil,nil,nil,
Sushi Bar Kilala,4749 Hastings, Burnaby,604 298-4749,nil,nil,nil,
Subway Sandwiches,102-4161 Hastings, Burnaby,604 298-6100,nil,nil,nil,
Subway Sandwiches,5093 Canada Way, Burnaby,604 540-6449,nil,604 540-1861,nil,
Subway Sandwiches,108-2838 E Hastings St, Vancouver,604 251-7900,nil,nil,nil,
Subway Sandwiches,4490 Dunbar St, Vancouver,604 263-4023,nil,nil,nil,
Subway Sandwiches,A-10392 King George Blvd, Surrey,604 580-2554,nil,nil,nil,
Subway Sandwiches,103-1076 King George Blvd, Surrey,604 583-0888,nil,nil,nil,
Sushi Bar Shyun,2063 Lougheed Hwy, Port Coquitlam,604 944-4411,nil,nil,nil,
The Sushi Bar,1822 W 4th Ave, Vancouver,604 737-3999,nil,nil,nil,
Subway Sandwiches,1066A Austin Ave, Coquitlam,604 937-7827,nil,nil,nil,
Subway Sandwiches,101-15141 No. 10 Hwy, Surrey,604 575-2424,nil,nil,nil,
Subway Sandwiches,1069 Nicola Ave Pl, Coquitlam,604 464-6435,nil,nil,nil,
Subway Sandwiches,501-100 Schoolhouse, Coquitlam,604 524-4146,nil,nil,nil,
Subway Sandwiches,5663 Victoria Dr, Vancouver,604 301-9530,nil,nil,nil,
Subway Sandwiches,541 Granville, Vancouver,604 609-4450,nil,nil,nil,
Subway Sandwiches,103-17700 No. 10 Hwy, Surrey,604 576-5878,nil,nil,nil,
Subway Sandwiches,163-10070 152 St, Surrey,604 951-9629,nil,nil,nil,
Sushi Bella Restaurant,2059 W 4th Ave, Vancouver,604 734-4990,nil,nil,nil,
Subway Sandwiches,74 8th St, New Westminster,604 522-7823,nil,nil,nil,
Subway Sandwiches,1109 Main St, Vancouver,604 689-9599,nil,nil,nil,
Subway Sandwiches,101-7750 128 St, Surrey,604 543-7824,nil,nil,nil,
Sushi  Black Tuna,1459 Johnston Rd, White Rock,604 531-3130,nil,nil,nil,
